id      |usuario_id|idenvio         |ruta                                                          |deleted_at|created_at                   |updated_at                   |modulo  |img_despacho|
--------+----------+----------------+--------------------------------------------------------------+----------+-----------------------------+-----------------------------+--------+------------+
63996073|      7018|    529356002174|uploads/recived_files/files2/2019-09-21/09/529356002174.png   |          |2019-09-21 09:26:54.000 -0500|2019-09-21 09:26:54.000 -0500|archivos|            |
27319815|      7206|      6561087472|uploads/recived_files/files/2019-05-14/13/6561087472.png      |          |2019-05-14 13:39:29.000 -0500|2019-05-14 13:39:29.000 -0500|escaner |            |
38727882|      1007|    298480510830|uploads/recived_files/files/2019-06-27/10/298480510830.png    |          |2019-06-27 10:11:00.000 -0500|2019-06-27 10:11:00.000 -0500|escaner |            |
38732552|      7174|      1276868888|uploads/recived_files/files/2019-06-27/10/1276868888.png      |          |2019-06-27 10:13:52.000 -0500|2019-06-27 10:13:52.000 -0500|escaner |            |
38734298|      7016|    530190000190|uploads/recived_files/files/2019-06-27/10/530190000190.png    |          |2019-06-27 10:15:33.000 -0500|2019-06-27 10:15:33.000 -0500|escaner |            |
38736054|      7174|      1276825979|uploads/recived_files/files/2019-06-27/10/1276825979.png      |          |2019-06-27 10:18:13.000 -0500|2019-06-27 10:18:13.000 -0500|escaner |            |
27319820|      7206|      6561103159|uploads/recived_files/files/2019-05-14/13/6561103159.png      |          |2019-05-14 13:39:29.000 -0500|2019-05-14 13:39:29.000 -0500|escaner |            |
38737750|      7174|      1276826525|uploads/recived_files/files/2019-06-27/10/1276826525.png      |          |2019-06-27 10:23:33.000 -0500|2019-06-27 10:23:33.000 -0500|escaner |            |
38739432|      1008|      6561181097|uploads/recived_files/files/2019-06-27/10/6561181097.png      |          |2019-06-27 10:28:43.000 -0500|2019-06-27 10:28:43.000 -0500|escaner |            |
63996075|      7018|    529356002178|uploads/recived_files/files2/2019-09-21/09/529356002178.png   |          |2019-09-21 09:26:54.000 -0500|2019-09-21 09:26:54.000 -0500|archivos|            |
63996077|      7018|    529356002882|uploads/recived_files/files2/2019-09-21/09/529356002882.png   |          |2019-09-21 09:26:54.000 -0500|2019-09-21 09:26:54.000 -0500|archivos|            |
46146380|      7350|      6562019441|uploads/recived_files/files/2019-07-24/08/6562019441.png      |          |2019-07-24 08:09:24.000 -0500|2019-07-24 08:09:24.000 -0500|escaner |            |
27319826|      7206|      6561119828|uploads/recived_files/files/2019-05-14/13/6561119828.png      |          |2019-05-14 13:39:29.000 -0500|2019-05-14 13:39:29.000 -0500|escaner |            |
38747609|      1007|    536495009089|uploads/recived_files/files/2019-06-27/10/536495009089.png    |          |2019-06-27 10:44:44.000 -0500|2019-06-27 10:44:44.000 -0500|escaner |            |
63996079|      7018|    529356002913|uploads/recived_files/files2/2019-09-21/09/529356002913.png   |          |2019-09-21 09:26:54.000 -0500|2019-09-21 09:26:54.000 -0500|archivos|            |
38752274|      7213|    539452005949|uploads/recived_files/files/2019-06-27/10/539452005949.png    |          |2019-06-27 10:51:36.000 -0500|2019-06-27 10:51:36.000 -0500|escaner |            |
38757573|      7666|    539621003551|uploads/recived_files/files/2019-06-27/10/539621003551.png    |          |2019-06-27 10:53:54.000 -0500|2019-06-27 10:53:54.000 -0500|escaner |            |
46147992|      7350|      6562024328|uploads/recived_files/files/2019-07-24/08/6562024328.png      |          |2019-07-24 08:13:36.000 -0500|2019-07-24 08:13:36.000 -0500|escaner |            |
27319832|      7206|      6623554392|uploads/recived_files/files/2019-05-14/13/6623554392.png      |          |2019-05-14 13:39:29.000 -0500|2019-05-14 13:39:29.000 -0500|cloud   |            |
